ad_id,campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion
710617,916,30-34,F,15,19,16,5014.0,1,1.190000057,1.0,0.0
710623,916,30-34,F,16,19,20,38726.0,7,9.220000267,1.0,0.0
710628,916,30-34,F,18,24,22,1473.0,0,0.0,1.0,0.0
710682,916,30-34,F,27,33,32,1186.0,0,0.0,1.0,0.0
710763,916,30-34,F,15,19,17,5369.0,1,1.50999999,1.0,0.0
710836,916,30-34,F,29,33,31,22221.0,7,9.430000067,1.0,1.0
710867,916,30-34,F,63,64,68,1185.0,0,0.0,1.0,0.0
710880,916,30-34,F,65,70,68,13019.0,5,6.960000038,1.0,0.0
710961,916,35-39,F,25,29,26,2508.0,1,1.220000029,1.0,0.0
710968,916,35-39,F,27,31,29,5864.0,2,2.799999952,1.0,1.0
711217,916,35-39,F,20,26,23,2783.0,1,1.600000024,1.0,0.0
711623,916,40-44,F,15,18,20,3812.0,1,1.129999995,2.0,1.0
711764,916,45-49,F,10,16,11,11199.0,4,5.730000019,1.0,1.0
711785,916,45-49,F,19,25,23,292.0,0,0.0,1.0,0.0
711877,916,45-49,F,63,67,65,17572.0,7,9.379999995,1.0,0.0
712052,916,45-49,F,10,13,11,1448.0,0,0.0,1.0,1.0
734209,936,30-34,M,10,16,14,1772.0,0,0.0,1.0,1.0
734210,936,30-34,M,10,16,13,13329.0,4,5.629999995,1.0,1.0
734215,936,30-34,M,15,19,17,13659.0,3,3.840000033,1.0,0.0
734243,936,30-34,M,21,23,24,739.0,0,0.0,1.0,1.0
734266,936,30-34,M,25,30,27,605.0,0,0.0,1.0,0.0
734272,936,30-34,M,26,32,29,1030.0,0,0.0,1.0,0.0
734290,936,30-34,M,29,32,35,5374.0,1,1.039999962,4.0,0.0
734313,936,30-34,M,36,38,38,790.0,0,0.0,1.0,1.0
734314,936,30-34,M,36,38,38,962.0,0,0.0,1.0,0.0
734352,936,35-39,M,10,11,16,4423.0,1,1.460000038,1.0,1.0
734361,936,35-39,M,16,19,19,12382.0,2,2.839999914,1.0,1.0
734381,936,35-39,M,20,25,24,2938.0,1,1.350000024,1.0,1.0
734399,936,35-39,M,23,24,27,239.0,0,0.0,1.0,0.0
734418,936,35-39,M,26,27,28,591.0,0,0.0,1.0,0.0
734421,936,35-39,M,27,29,32,10332.0,4,5.75,1.0,0.0
734427,936,35-39,M,28,29,31,8259.0,3,3.980000019,1.0,0.0
734433,936,35-39,M,29,35,31,12158.0,3,4.449999928,1.0,0.0
734582,936,40-44,M,29,33,33,7709.0,2,1.320000052,2.0,0.0
734605,936,40-44,M,36,37,41,834.0,0,0.0,1.0,0.0
734660,936,45-49,M,18,22,23,1299.0,0,0.0,2.0,0.0
734666,936,45-49,M,19,24,20,371.0,0,0.0,1.0,0.0
734726,936,45-49,M,29,30,35,10466.0,3,4.090000033,1.0,0.0
734737,936,45-49,M,31,37,33,839.0,0,0.0,1.0,0.0
734785,936,30-34,F,10,13,13,5576.0,1,1.529999971,1.0,1.0
734794,936,30-34,F,16,19,17,4010.0,0,0.0,1.0,0.0
734796,936,30-34,F,16,22,17,39337.0,7,10.03000009,1.0,1.0
734800,936,30-34,F,18,20,20,1635.0,0,0.0,1.0,0.0
734803,936,30-34,F,18,19,21,1631.0,0,0.0,1.0,0.0
734852,936,30-34,F,26,30,29,13479.0,3,4.25,1.0,0.0
734854,936,30-34,F,27,33,32,57022.0,13,20.29000032,3.0,3.0
734856,936,30-34,F,27,28,32,5453.0,1,1.389999986,1.0,1.0
734866,936,30-34,F,29,32,31,11803.0,3,4.440000057,1.0,0.0
734881,936,30-34,F,31,32,34,4259.0,1,1.570000052,1.0,1.0
734901,936,30-34,F,64,70,68,1554.0,0,0.0,1.0,0.0
734903,936,30-34,F,64,69,67,5323.0,1,1.289999962,1.0,1.0
734925,936,35-39,F,10,11,12,5024.0,1,1.409999967,1.0,1.0
734939,936,35-39,F,16,19,22,104648.0,24,33.33000004,4.0,2.0
734968,936,35-39,F,22,25,27,8504.0,3,3.340000093,1.0,1.0
734999,936,35-39,F,27,32,32,20277.0,6,8.050000072,1.0,0.0
735014,936,35-39,F,29,34,30,12403.0,4,5.210000038,1.0,1.0
735032,936,35-39,F,32,33,34,498.0,0,0.0,1.0,1.0
735033,936,35-39,F,36,40,40,652.0,0,0.0,0.0,0.0
735043,936,35-39,F,63,65,69,1357.0,0,0.0,1.0,1.0
735048,936,35-39,F,64,65,68,1393.0,0,0.0,1.0,0.0
735065,936,40-44,F,7,10,12,648.0,0,0.0,1.0,0.0
735109,936,40-44,F,21,26,25,708.0,0,0.0,1.0,1.0
735140,936,40-44,F,26,27,31,6907.0,2,2.349999964,1.0,0.0
735143,936,40-44,F,27,28,30,39035.0,13,19.32999957,1.0,0.0
735151,936,40-44,F,28,30,31,926.0,0,0.0,1.0,0.0
735184,936,40-44,F,63,66,67,4412.0,1,1.450000048,1.0,0.0
735189,936,40-44,F,64,65,66,9965.0,3,4.050000072,1.0,0.0
735213,936,45-49,F,10,16,11,73634.0,23,32.97999978,1.0,0.0
735220,936,45-49,F,15,17,17,69708.0,20,31.28999949,1.0,0.0
735242,936,45-49,F,19,25,21,530.0,0,0.0,1.0,0.0
735247,936,45-49,F,20,24,25,14257.0,6,8.789999962,1.0,0.0
735289,936,45-49,F,27,30,30,20362.0,5,9.119999886,1.0,1.0
735290,936,45-49,F,27,29,33,12215.0,4,6.26000011,1.0,0.0
735298,936,45-49,F,29,31,32,85412.0,28,38.63999999,2.0,1.0
736869,936,30-34,M,2,6,8,2338.0,1,0.239999995,1.0,0.0
736890,936,30-34,M,15,16,20,2522.0,0,0.0,1.0,0.0
736893,936,30-34,M,16,17,17,3587.0,0,0.0,1.0,0.0
736977,936,30-34,M,27,30,28,1273.0,0,0.0,1.0,0.0
736988,936,30-34,M,28,29,29,3891.0,1,1.090000033,1.0,0.0
736995,936,30-34,M,29,34,34,1888.0,0,0.0,1.0,0.0
736997,936,30-34,M,29,32,33,1895.0,0,0.0,1.0,0.0
737097,936,35-39,M,7,10,11,715.0,0,0.0,1.0,0.0
737130,936,35-39,M,16,19,18,11199.0,2,2.680000067,1.0,0.0
737320,936,35-39,M,63,64,66,5676.0,2,3.00999999,1.0,0.0
737375,936,40-44,M,10,11,11,1415.0,0,0.0,1.0,0.0
737524,936,40-44,M,30,34,33,2148.0,1,1.580000043,1.0,1.0
737644,936,45-49,M,16,22,17,45401.0,10,14.06000042,1.0,0.0
737657,936,45-49,M,18,23,20,7478.0,2,2.900000095,1.0,1.0
737658,936,45-49,M,18,19,24,4919.0,1,1.590000033,1.0,0.0
737674,936,45-49,M,20,21,24,533.0,0,0.0,1.0,1.0
737766,936,45-49,M,29,33,33,1447.0,0,0.0,1.0,1.0
737896,936,30-34,F,16,21,22,17553.0,3,4.590000153,1.0,0.0
737931,936,30-34,F,20,26,24,3343.0,1,0.540000021,1.0,0.0
737961,936,30-34,F,23,29,28,523.0,0,0.0,1.0,0.0
737995,936,30-34,F,26,27,31,1873.0,0,0.0,1.0,0.0
738006,936,30-34,F,27,29,32,34740.0,7,13.41000009,1.0,1.0
738067,936,30-34,F,32,37,36,658.0,0,0.0,1.0,0.0
738098,936,30-34,F,64,70,68,1539.0,0,0.0,1.0,0.0
738307,936,35-39,F,31,36,36,3010.0,1,0.860000014,1.0,1.0
738389,936,40-44,F,10,16,12,27081.0,9,10.77000046,1.0,1.0
738408,936,40-44,F,16,22,22,20233.0,4,5.590000153,3.0,0.0
738413,936,40-44,F,16,17,19,147159.0,36,58.16000044,3.0,1.0
738423,936,40-44,F,18,20,24,21664.0,7,10.61999977,1.0,1.0
738436,936,40-44,F,19,21,20,9112.0,4,5.460000038,1.0,1.0
738463,936,40-44,F,21,23,24,542.0,0,0.0,1.0,0.0
738528,936,40-44,F,30,34,33,402.0,0,0.0,1.0,1.0
738560,936,40-44,F,64,70,66,1338.0,0,0.0,1.0,0.0
738582,936,45-49,F,10,16,12,46150.0,15,20.17999983,1.0,1.0
738592,936,45-49,F,16,22,20,493821.0,116,176.3799977,4.0,1.0
738593,936,45-49,F,16,17,21,92011.0,27,34.39000046,2.0,1.0
738598,936,45-49,F,18,23,24,12956.0,4,5.49000001,1.0,1.0
738606,936,45-49,F,19,20,23,529.0,0,0.0,1.0,0.0
738637,936,45-49,F,24,26,30,944.0,1,1.419999957,1.0,0.0
738648,936,45-49,F,26,30,27,111090.0,38,51.97000027,5.0,1.0
747212,936,30-34,M,10,16,14,7208.0,2,3.190000057,1.0,0.0
747213,936,30-34,M,10,12,11,1746.0,0,0.0,1.0,0.0
747220,936,30-34,M,15,17,16,2474.0,0,0.0,2.0,2.0
747222,936,30-34,M,16,22,20,12489.0,2,1.960000038,1.0,0.0
747223,936,30-34,M,16,18,18,8032.0,1,0.600000024,2.0,0.0
747248,936,30-34,M,21,24,24,472.0,0,0.0,1.0,1.0
747332,936,30-34,M,64,68,65,792.0,0,0.0,1.0,1.0
747362,936,35-39,M,15,16,18,4607.0,1,1.149999976,1.0,1.0
747369,936,35-39,M,16,17,21,13355.0,2,3.180000067,1.0,1.0
747370,936,35-39,M,16,17,19,2936.0,0,0.0,1.0,0.0
747401,936,35-39,M,22,25,25,2793.0,1,0.980000019,1.0,1.0
747435,936,35-39,M,28,29,30,1032.0,0,0.0,1.0,0.0
747439,936,35-39,M,29,35,33,1662.0,0,0.0,1.0,1.0
747489,936,40-44,M,2,7,6,4016.0,2,1.480000049,1.0,1.0
747514,936,40-44,M,16,20,17,14843.0,3,2.939999938,1.0,1.0
747645,936,45-49,M,10,14,13,9674.0,3,4.600000024,1.0,1.0
747659,936,45-49,M,16,21,17,12186.0,2,2.669999957,1.0,0.0
747675,936,45-49,M,20,22,21,673.0,0,0.0,1.0,0.0
747678,936,45-49,M,21,27,23,370.0,0,0.0,1.0,1.0
747712,936,45-49,M,26,30,29,450.0,0,0.0,1.0,1.0
747790,936,30-34,F,10,12,14,2077.0,0,0.0,1.0,1.0
747791,936,30-34,F,10,14,13,31393.0,8,10.96000051,1.0,1.0
747795,936,30-34,F,15,21,18,8410.0,2,2.359999895,1.0,1.0
747798,936,30-34,F,16,21,20,25884.0,5,7.350000143,1.0,0.0
747824,936,30-34,F,21,24,23,608.0,0,0.0,1.0,1.0
747828,936,30-34,F,22,24,24,28488.0,10,9.340000033,1.0,0.0
747852,936,30-34,F,26,32,32,10126.0,3,4.619999886,1.0,0.0
747859,936,30-34,F,27,32,33,22572.0,5,8.5,1.0,0.0
747863,936,30-34,F,27,30,33,1955.0,0,0.0,1.0,1.0
747879,936,30-34,F,30,36,31,493.0,0,0.0,1.0,0.0
747903,936,30-34,F,63,69,69,1491.0,0,0.0,1.0,1.0
747911,936,30-34,F,64,66,66,1495.0,0,0.0,1.0,1.0
747968,936,35-39,F,21,27,24,512.0,0,0.0,0.0,0.0
747991,936,35-39,F,25,31,27,4868.0,2,2.420000076,1.0,0.0
748000,936,35-39,F,26,27,32,6585.0,2,2.950000048,1.0,0.0
748007,936,35-39,F,27,29,28,10164.0,2,3.720000029,1.0,1.0
748014,936,35-39,F,29,31,35,11182.0,4,4.449999809,1.0,0.0
748045,936,35-39,F,63,69,64,1238.0,0,0.0,1.0,0.0
748086,936,40-44,F,16,19,18,34127.0,8,13.07000017,1.0,0.0
748087,936,40-44,F,16,22,19,29466.0,7,10.84999967,2.0,0.0
748089,936,40-44,F,16,18,21,38759.0,9,10.84999967,1.0,0.0
748091,936,40-44,F,16,17,19,41720.0,10,12.06000006,1.0,1.0
748225,936,45-49,F,15,16,17,18602.0,5,8.860000134,1.0,0.0
748230,936,45-49,F,16,17,20,83929.0,21,27.72999954,4.0,1.0
748231,936,45-49,F,16,18,21,25194.0,6,7.349999905,1.0,0.0
748233,936,45-49,F,16,22,18,78627.0,19,26.53000045,1.0,0.0
748235,936,45-49,F,16,18,19,102695.0,25,39.42999983,3.0,0.0
748294,936,45-49,F,27,32,31,82827.0,24,47.93000031,3.0,0.0
748295,936,45-49,F,27,31,32,9240.0,3,6.039999962,1.0,0.0
748303,936,45-49,F,29,32,33,7706.0,2,2.369999886,1.0,0.0
748314,936,45-49,F,31,34,32,7821.0,4,6.340000153,1.0,1.0
748341,936,45-49,F,64,67,68,1363.0,0,0.0,1.0,1.0
776318,936,45-49,F,15,16,19,3569.0,0,0.0,1.0,1.0
776322,936,45-49,F,16,21,20,119063.0,34,53.21999949,1.0,0.0
776323,936,45-49,F,16,17,18,99078.0,23,35.79999948,2.0,0.0
776325,936,45-49,F,16,19,20,452398.0,114,180.2200012,1.0,0.0
776334,936,45-49,F,10,12,16,191223.0,48,76.41000056,1.0,0.0
776336,936,45-49,F,10,15,14,22216.0,6,9.549999952,1.0,0.0
776338,936,45-49,F,10,12,11,48291.0,11,18.01999998,1.0,0.0
776353,936,40-44,F,63,66,67,27559.0,8,13.37,1.0,0.0
776373,936,45-49,F,25,27,27,10194.0,4,4.590000033,2.0,1.0
776383,936,45-49,F,23,27,29,1168.0,0,0.0,1.0,1.0
776405,936,45-49,F,21,25,22,40126.0,16,25.86000001,1.0,0.0
776416,936,45-49,F,19,22,20,3659.0,1,0.49000001,1.0,1.0
776430,936,30-34,M,10,14,16,3200.0,0,0.0,1.0,0.0
776464,936,45-49,F,29,30,31,7550.0,1,1.679999948,1.0,1.0
776469,936,45-49,F,28,33,29,45397.0,15,25.41999936,1.0,1.0
776473,936,30-34,M,16,22,22,23086.0,2,3.310000062,1.0,1.0
776475,936,30-34,M,16,21,20,16425.0,1,1.549999952,1.0,0.0
776476,936,30-34,M,16,17,18,43756.0,5,5.439999938,0.0,0.0
776477,936,30-34,M,16,22,17,9982.0,0,0.0,1.0,0.0
776489,936,45-49,F,26,31,28,175389.0,55,81.60999787,1.0,0.0
776494,936,30-34,M,15,16,16,7015.0,0,0.0,1.0,0.0
776515,936,45-49,F,65,68,68,12706.0,3,4.98999989,1.0,1.0
776519,936,45-49,F,65,71,67,70702.0,20,31.7099998,1.0,0.0
776533,936,45-49,F,63,64,68,63927.0,16,25.52000046,2.0,0.0
776534,936,45-49,F,63,69,67,15105.0,3,4.25999999,1.0,0.0
776538,936,30-34,F,15,16,19,8774.0,1,1.830000043,1.0,0.0
776551,936,30-34,F,16,18,22,14459.0,1,1.389999986,1.0,0.0
776552,936,30-34,F,16,17,18,21596.0,2,2.809999943,1.0,0.0
776553,936,30-34,F,16,21,17,66765.0,8,11.04999971,1.0,0.0
776563,936,30-34,F,7,9,13,1369.0,0,0.0,1.0,1.0
776579,936,30-34,F,10,13,14,26910.0,5,7.229999781,1.0,0.0
776603,936,30-34,F,2,3,6,506.0,0,0.0,1.0,0.0
776615,936,45-49,M,63,66,68,11988.0,3,4.269999862,1.0,0.0
776623,936,45-49,M,64,69,65,19353.0,6,9.4799999,1.0,1.0
776631,936,40-44,M,29,35,33,10960.0,2,2.890000105,1.0,0.0
776643,936,30-34,M,15,18,18,33491.0,6,10.56999969,2.0,1.0
776644,936,30-34,M,15,21,20,20083.0,2,3.200000048,2.0,1.0
776659,936,30-34,M,16,19,22,8817.0,0,0.0,1.0,1.0
776661,936,30-34,M,16,18,22,15466.0,1,0.970000029,1.0,0.0
776662,936,30-34,M,16,18,22,27072.0,3,4.370000005,1.0,0.0
776663,936,30-34,M,16,19,22,15753.0,1,0.569999993,1.0,1.0
776668,936,40-44,M,19,21,24,3523.0,1,1.809999943,1.0,1.0
776685,936,40-44,M,16,22,17,7745.0,0,0.0,1.0,0.0
776686,936,40-44,M,16,17,21,18709.0,2,3.319999933,1.0,0.0
776687,936,40-44,M,16,20,20,8022.0,0,0.0,2.0,1.0
776696,936,30-34,M,10,11,12,7966.0,1,1.179999948,1.0,1.0
776697,936,30-34,M,10,14,13,4132.0,0,0.0,1.0,1.0
776698,936,30-34,M,10,14,16,12785.0,3,4.730000019,2.0,1.0
776699,936,30-34,M,10,16,16,8213.0,1,1.379999995,1.0,1.0
776722,936,30-34,M,2,4,7,545.0,0,0.0,1.0,1.0
776725,936,40-44,M,23,26,27,2479.0,1,1.25999999,1.0,0.0
776780,936,40-44,M,2,4,3,3812.0,2,3.049999952,1.0,0.0
776793,936,45-49,M,21,23,26,1609.0,0,0.0,1.0,0.0
776799,936,45-49,M,20,22,26,10257.0,3,3.579999924,1.0,1.0
776817,936,40-44,M,10,14,16,12356.0,4,6.279999971,1.0,0.0
776825,936,45-49,M,18,23,20,7410.0,1,1.210000038,1.0,0.0
776829,936,45-49,M,16,20,19,140098.0,28,46.63000011,1.0,0.0
776831,936,45-49,M,16,18,20,107021.0,20,34.44000012,1.0,0.0
776840,936,35-39,M,36,38,40,2797.0,1,1.289999962,1.0,0.0
776861,936,45-49,M,7,9,12,16461.0,6,9.21999979,1.0,0.0
776892,936,40-44,M,63,66,69,17488.0,5,7.719999909,1.0,0.0
776928,936,35-39,M,10,11,15,9750.0,2,1.5,1.0,1.0
776935,936,45-49,M,36,41,38,1136.0,0,0.0,1.0,1.0
777105,936,45-49,M,63,67,67,4333.0,1,0.180000007,1.0,1.0
777130,936,35-39,M,16,21,22,6260.0,0,0.0,1.0,0.0
777131,936,35-39,M,16,19,21,6359.0,0,0.0,1.0,0.0
777166,936,30-34,M,63,69,65,2383.0,0,0.0,1.0,1.0
777187,936,40-44,M,27,31,28,11292.0,3,5.389999866,1.0,1.0
777198,936,30-34,M,64,70,69,12729.0,4,5.779999852,1.0,0.0
777200,936,30-34,M,64,69,70,1898.0,0,0.0,1.0,1.0
777201,936,30-34,M,64,69,65,1882.0,0,0.0,1.0,1.0
777235,936,30-34,M,65,66,67,2883.0,1,0.99000001,1.0,1.0
777248,936,30-34,F,7,9,10,3989.0,1,1.279999971,1.0,0.0
777261,936,40-44,M,29,31,34,19603.0,4,5.279999971,1.0,1.0
777382,936,40-44,M,24,26,27,3047.0,1,1.379999995,1.0,0.0
777398,936,35-39,M,24,27,30,3029.0,1,1.049999952,1.0,1.0
777410,936,45-49,M,26,29,28,3490.0,1,1.340000033,1.0,1.0
777482,936,45-49,M,28,32,32,2479.0,0,0.0,1.0,0.0
777495,936,40-44,M,19,25,25,19581.0,7,10.42999983,2.0,0.0
777519,936,45-49,M,29,34,32,19537.0,5,6.099999905,1.0,0.0
777625,936,45-49,M,16,17,19,59433.0,12,19.65999949,3.0,0.0
777627,936,45-49,M,16,17,19,157534.0,33,56.19000077,2.0,0.0
777638,936,40-44,M,7,10,12,1781.0,0,0.0,1.0,1.0
777670,936,40-44,M,16,19,19,23769.0,4,6.029999852,1.0,0.0
777673,936,40-44,M,16,18,17,7101.0,0,0.0,1.0,0.0
777742,936,35-39,M,64,69,68,4726.0,1,1.830000043,1.0,1.0
777758,936,30-34,M,19,20,20,5209.0,1,0.959999979,2.0,0.0
777794,936,30-34,M,18,23,24,13473.0,3,2.619999945,3.0,0.0
777816,936,40-44,M,2,7,7,500.0,0,0.0,1.0,1.0
777871,936,30-34,M,20,26,23,4616.0,1,1.360000014,1.0,0.0
777904,936,30-34,M,31,32,33,3279.0,0,0.0,1.0,0.0
777905,936,30-34,M,31,36,36,3288.0,0,0.0,1.0,0.0
778037,936,35-39,M,27,29,28,14615.0,4,6.050000191,1.0,0.0
778048,936,30-34,M,27,28,29,56615.0,12,19.88000035,2.0,0.0
778085,936,30-34,M,26,32,31,11735.0,3,4.529999971,1.0,1.0
778087,936,30-34,M,26,30,32,15910.0,5,6.779999852,1.0,0.0
778112,936,35-39,M,29,33,35,11446.0,2,3.090000033,1.0,1.0
778113,936,35-39,M,29,35,35,4595.0,0,0.0,1.0,0.0
778124,936,30-34,M,29,34,32,4871.0,0,0.0,1.0,0.0
778148,936,35-39,M,28,32,30,3199.0,0,0.0,1.0,0.0
778156,936,30-34,M,28,32,31,9388.0,2,3.140000105,1.0,0.0
778161,936,30-34,M,28,31,33,17954.0,6,7.5400002,2.0,1.0
778208,936,40-44,F,29,32,32,2755.0,0,0.0,1.0,0.0
778264,936,40-44,F,27,31,30,8152.0,1,0.99000001,1.0,0.0
778266,936,40-44,F,27,32,28,74542.0,19,34.1500001,1.0,0.0
778421,936,40-44,F,20,21,23,6699.0,2,3.090000033,1.0,0.0
778422,936,40-44,F,20,25,24,11911.0,4,3.959999919,1.0,0.0
778461,936,40-44,M,29,35,33,10090.0,2,2.650000095,1.0,1.0
778471,936,30-34,M,32,35,36,1273.0,0,0.0,1.0,1.0
778483,936,40-44,F,18,24,20,24188.0,5,8.179999828,1.0,0.0
778529,936,30-34,M,31,35,33,2214.0,0,0.0,1.0,0.0
778556,936,40-44,M,32,35,38,9735.0,4,4.130000114,1.0,1.0
778590,936,30-34,M,30,36,36,1371.0,0,0.0,1.0,1.0
778600,936,40-44,F,22,23,25,10750.0,4,5.389999866,1.0,0.0
778626,936,30-34,M,29,33,35,7629.0,1,0.720000029,1.0,1.0
778628,936,30-34,M,29,35,30,4608.0,0,0.0,1.0,0.0
778674,936,35-39,M,29,31,30,3732.0,0,0.0,1.0,0.0
778689,936,30-34,M,28,32,32,7453.0,1,1.679999948,1.0,1.0
778722,936,35-39,F,64,70,67,41785.0,14,19.10000038,1.0,0.0
778737,936,35-39,M,27,32,30,8077.0,2,3.579999924,1.0,1.0
778756,936,35-39,F,63,65,65,5602.0,1,1.580000043,1.0,0.0
778804,936,30-34,M,26,29,29,6184.0,2,2.75,1.0,1.0
778808,936,30-34,M,26,28,29,1738.0,0,0.0,1.0,0.0
778964,936,35-39,F,27,33,28,112460.0,25,41.29000068,1.0,0.0
779057,936,40-44,M,15,21,21,4414.0,0,0.0,1.0,0.0
779106,936,35-39,F,30,35,36,14670.0,7,9.410000324,1.0,0.0
779438,936,30-34,F,64,66,69,33144.0,9,13.40999985,1.0,0.0
779453,936,45-49,M,64,68,70,4397.0,1,0.949999988,1.0,0.0
779488,936,45-49,M,65,68,69,1006.0,0,0.0,1.0,0.0
779573,936,35-39,F,10,13,16,89527.0,24,32.28999996,1.0,0.0
779608,936,35-39,F,15,18,16,2459.0,0,0.0,1.0,0.0
779609,936,35-39,F,15,20,18,7116.0,2,1.730000019,1.0,1.0
779622,936,30-34,F,15,18,17,8613.0,1,0.889999986,2.0,0.0
779631,936,35-39,F,16,19,18,9730.0,1,1.379999995,1.0,0.0
779644,936,30-34,F,16,20,20,51816.0,8,10.2299999,2.0,1.0
779645,936,30-34,F,16,21,20,27289.0,3,4.429999828,1.0,0.0
779715,936,30-34,F,29,32,33,20409.0,4,3.829999924,1.0,0.0
779716,936,30-34,F,29,32,34,8044.0,1,1.110000014,1.0,0.0
779738,936,30-34,F,28,32,33,15645.0,4,5.349999905,1.0,0.0
779778,936,30-34,F,31,37,34,2466.0,0,0.0,2.0,2.0
779789,936,45-49,M,10,14,13,11611.0,3,3.950000048,1.0,1.0
779824,936,45-49,M,7,13,9,9375.0,3,4.019999981,1.0,0.0
779871,936,30-34,F,32,37,34,4402.0,1,1.330000043,1.0,1.0
779918,936,30-34,F,18,23,24,8469.0,2,3.089999914,1.0,0.0
779922,936,30-34,F,18,22,24,5823.0,1,1.419999957,1.0,1.0
779944,936,35-39,M,10,13,16,2549.0,0,0.0,1.0,0.0
779979,936,35-39,M,16,17,21,25817.0,4,6.019999981,1.0,0.0
779995,936,30-34,F,20,24,25,1961.0,0,0.0,1.0,0.0
780064,936,30-34,F,22,24,25,2554.0,0,0.0,1.0,0.0
780104,936,30-34,F,25,27,26,4971.0,1,1.230000019,1.0,1.0
780199,936,35-39,F,23,28,27,1030.0,0,0.0,1.0,1.0
780318,936,45-49,F,29,32,31,162341.0,56,77.07999969,3.0,0.0
780323,936,45-49,F,29,35,34,24542.0,7,9.329999924,1.0,0.0
780486,936,30-34,F,65,69,71,2879.0,0,0.0,1.0,1.0
780498,936,30-34,F,64,65,68,13621.0,3,4.090000033,1.0,0.0
780511,936,30-34,F,63,65,66,6175.0,1,1.370000005,2.0,1.0
780629,936,30-34,F,28,34,34,2963.0,0,0.0,1.0,0.0
780653,936,30-34,F,29,33,35,9076.0,1,1.379999995,1.0,1.0
780655,936,30-34,F,29,33,34,20941.0,4,5.909999967,1.0,1.0
780666,936,45-49,F,10,13,13,3462.0,0,0.0,1.0,0.0
780681,936,30-34,F,26,29,29,4073.0,0,0.0,1.0,1.0
780700,936,30-34,F,27,33,30,3745.0,0,0.0,1.0,0.0
780748,936,30-34,F,24,26,28,830.0,0,0.0,1.0,0.0
780759,936,45-49,F,18,24,22,2912.0,0,0.0,1.0,0.0
780760,936,45-49,F,18,23,22,17167.0,5,6.910000086,1.0,0.0
780797,936,30-34,F,22,25,25,24491.0,7,9.539999962,1.0,0.0
780799,936,30-34,F,22,24,26,44699.0,13,17.30000037,2.0,0.0
780821,936,30-34,F,23,24,25,6469.0,2,1.309999943,1.0,0.0
780830,936,45-49,F,16,17,17,16053.0,3,4.079999924,1.0,1.0
